lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status
224,Offline,0,65.0,2,1,2017-10-02,0,2,Not_Canceled
5,Online,1,106.68,2,2,2018-11-06,0,3,Not_Canceled
1,Online,0,60.0,1,2,2018-02-28,0,1,Canceled
211,Online,0,100.0,2,0,2018-05-20,0,2,Canceled
48,Online,0,94.5,2,1,2018-04-11,0,1,Canceled
346,Online,1,115.0,2,0,2018-09-13,0,2,Canceled
34,Online,1,107.55,2,1,2017-10-15,0,3,Not_Canceled
83,Online,1,105.61,2,1,2018-12-26,0,3,Not_Canceled
121,Offline,1,96.9,3,0,2018-07-06,0,4,Not_Canceled
44,Online,3,133.44,2,0,2018-10-18,0,5,Not_Canceled
0,Online,0,85.03,1,1,2018-09-11,0,0,Not_Canceled
35,Online,1,140.4,1,2,2018-04-30,0,1,Not_Canceled
30,Online,0,88.0,2,2,2018-11-26,0,1,Canceled
95,Online,2,90.0,1,2,2018-11-20,0,0,Canceled
47,Online,2,94.5,2,0,2017-10-20,0,2,Not_Canceled
256,Online,1,115.0,2,0,2018-06-15,0,2,Canceled
0,Offline,0,96.0,1,1,2017-10-05,0,0,Not_Canceled
1,Online,1,96.0,2,1,2017-08-10,0,3,Not_Canceled
99,Online,0,65.0,2,2,2017-10-30,0,2,Canceled
12,Offline,0,72.0,2,1,2017-10-04,0,0,Not_Canceled
99,Online,0,65.0,2,2,2017-10-30,0,2,Canceled
122,Online,0,67.0,1,0,2018-11-25,0,1,Not_Canceled
2,Offline,0,85.0,2,2,2018-03-20,0,4,Not_Canceled
37,Offline,0,105.0,2,0,2018-10-13,0,3,Not_Canceled
130,Online,1,94.5,2,2,2018-05-22,0,1,Not_Canceled
99,Online,1,114.3,2,0,2018-04-28,0,2,Not_Canceled
60,Offline,0,65.0,2,1,2017-09-21,0,1,Not_Canceled
2,Online,0,110.0,1,0,2018-05-19,0,2,Canceled
37,Online,0,37.33,1,1,2017-11-06,0,2,Canceled
56,Offline,0,82.0,2,0,2017-09-17,0,2,Not_Canceled
3,Online,1,177.5,2,1,2017-09-19,0,1,Not_Canceled
107,Online,1,87.5,2,2,2018-11-13,0,2,Not_Canceled
56,Online,1,82.44,0,0,2018-12-07,0,3,Not_Canceled
2,Online,1,69.5,2,0,2018-01-09,0,1,Not_Canceled
72,Offline,0,85.5,2,0,2018-10-07,0,2,Not_Canceled
23,Online,1,115.0,2,0,2018-04-27,1,1,Not_Canceled
34,Online,0,81.0,1,2,2018-06-19,0,1,Canceled
289,Offline,0,67.0,2,0,2017-10-17,0,1,Not_Canceled
247,Online,0,63.75,2,2,2018-11-19,0,3,Canceled
186,Online,1,121.8,2,2,2018-07-30,0,1,Canceled
64,Online,2,93.6,2,0,2018-11-01,0,4,Not_Canceled
35,Online,1,102.0,2,0,2018-06-21,0,2,Not_Canceled
96,Online,1,121.8,3,2,2018-04-10,0,1,Not_Canceled
41,Online,1,98.1,2,1,2018-06-27,0,1,Canceled
55,Offline,1,60.0,2,0,2017-11-18,0,4,Not_Canceled
146,Offline,0,75.0,2,0,2017-12-29,0,3,Not_Canceled
32,Offline,0,73.0,1,0,2017-11-20,0,2,Not_Canceled
55,Offline,0,104.0,2,0,2018-04-06,0,1,Not_Canceled
57,Online,1,79.2,2,0,2018-11-01,0,4,Not_Canceled
7,Online,2,125.8,1,1,2018-12-29,0,3,Not_Canceled
124,Online,0,87.95,1,2,2018-05-30,0,5,Not_Canceled
169,Online,0,106.0,2,2,2018-04-22,0,2,Canceled
6,Online,1,136.67,1,1,2018-05-16,0,2,Not_Canceled
51,Offline,1,60.0,2,0,2017-11-11,0,4,Not_Canceled
13,Online,2,89.0,2,1,2018-06-13,0,0,Not_Canceled
100,Online,1,136.0,2,1,2018-05-19,0,3,Not_Canceled
139,Online,1,94.5,2,0,2018-07-28,0,1,Not_Canceled
117,Online,2,93.6,2,1,2018-12-26,0,2,Not_Canceled
39,Online,0,120.6,2,1,2018-04-20,0,4,Canceled
86,Online,1,99.3,2,0,2018-04-06,0,3,Not_Canceled
2,Online,1,258.0,2,0,2018-09-02,1,1,Not_Canceled
19,Online,2,120.12,1,0,2018-05-03,0,3,Not_Canceled
192,Offline,0,95.0,1,0,2018-06-24,0,2,Not_Canceled
2,Online,1,0.0,1,0,2017-09-10,0,1,Not_Canceled
86,Offline,0,75.0,2,2,2018-12-18,0,1,Not_Canceled
30,Online,2,157.5,2,0,2018-10-05,0,3,Not_Canceled
179,Online,1,97.7,2,0,2018-06-03,0,2,Not_Canceled
26,Online,0,142.0,2,0,2018-04-15,0,2,Canceled
55,Offline,0,80.0,2,0,2018-04-06,0,1,Not_Canceled
74,Online,1,85.5,2,1,2018-04-25,0,2,Not_Canceled
143,Offline,0,100.0,2,0,2018-08-25,0,3,Not_Canceled
34,Online,2,88.0,2,1,2018-11-14,0,0,Not_Canceled
30,Online,1,122.85,2,1,2018-08-29,1,1,Not_Canceled
177,Online,0,100.0,2,0,2018-06-03,0,2,Canceled
34,Offline,0,75.0,2,2,2017-10-25,0,3,Not_Canceled
18,Online,1,116.8,2,1,2018-03-09,0,4,Not_Canceled
267,Online,0,121.5,3,1,2018-12-31,0,1,Not_Canceled
64,Online,1,111.9,2,1,2018-06-27,0,2,Not_Canceled
155,Online,2,121.55,3,2,2018-06-28,0,5,Canceled
46,Offline,1,75.0,2,0,2018-03-29,0,5,Not_Canceled
83,Online,0,159.3,2,0,2018-04-01,0,2,Canceled
128,Online,0,132.3,2,0,2018-10-11,0,5,Canceled
