Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,mileage_num,engine_num,power_num,Brand,Model
Mumbai,2010,72000,CNG,Manual,First,5,5.51,1.75,26.6,998,58.16,maruti,wagon
Pune,2015,41000,Diesel,Manual,First,5,16.06,12.5,19.67,1582,126.2,hyundai,creta
Chennai,2011,46000,Petrol,Manual,First,5,8.61,4.5,18.2,1199,88.7,honda,jazz
Chennai,2012,87000,Diesel,Manual,First,7,11.27,6,20.77,1248,88.76,maruti,ertiga
Coimbatore,2013,40670,Diesel,Automatic,Second,5,53.14,17.74,15.2,1968,140.8,audi,a4
Hyderabad,2012,75000,LPG,Manual,First,5,10.25,2.35,21.1,814,55.2,hyundai,eon
Jaipur,2013,86999,Diesel,Manual,First,5,9.47,3.5,23.08,1461,63.1,nissan,micra
Mumbai,2016,36000,Diesel,Automatic,First,8,21,17.5,11.36,2755,171.5,toyota,innova
Pune,2013,64430,Diesel,Manual,First,5,13.23,5.2,20.54,1598,103.6,volkswagen,vento
Chennai,2012,65932,Diesel,Manual,Second,5,7.63,1.95,22.3,1248,74,tata,indica
Kochi,2018,25692,Petrol,Manual,First,5,10.65,9.95,21.56,1462,103.25,maruti,ciaz
Kolkata,2012,60000,Petrol,Automatic,First,5,13.58,4.49,16.8,1497,116.3,honda,city
Jaipur,2015,64424,Diesel,Manual,First,5,7.88,5.6,25.2,1248,74,maruti,swift
Delhi,2014,72000,Diesel,Automatic,First,5,120,27,12.7,2179,187.7,land,rover
Pune,2012,85000,Diesel,Automatic,Second,5,120,17.5,,2179,115,land,rover
Delhi,2014,110000,Diesel,Manual,First,7,32.01,15,13.5,2477,175.56,mitsubishi,pajero
Kochi,2016,58950,Diesel,Manual,First,5,8.54,5.4,25.8,1498,98.6,honda,amaze
Jaipur,2017,25000,Diesel,Manual,First,5,7.88,5.99,28.4,1248,74,maruti,swift
Kochi,2014,77469,Diesel,Manual,First,5,15.05,6.34,20.45,1461,83.8,renault,duster
Bangalore,2014,78500,Diesel,Automatic,First,5,49.49,28,14.84,2143,167.62,mercedes-benz,new
Kochi,2014,32982,Diesel,Automatic,First,5,47.87,18.55,22.69,1995,190,bmw,3
Bangalore,2015,55392,Diesel,Manual,Second,5,7.88,8.25,23.65,1248,88.5,maruti,s
Mumbai,2015,55985,Petrol,Automatic,First,5,67.1,23.5,13.53,1984,177.01,audi,a6
Kolkata,2010,45807,Petrol,Manual,First,5,10.25,1.87,18.5,1197,80,hyundai,i20
Kolkata,2010,33000,Petrol,Automatic,First,5,13.23,2.85,14.4,1598,103.6,volkswagen,vento
Mumbai,2012,51920,Petrol,Manual,First,5,13.58,4.25,16.8,1497,116.3,honda,city
Hyderabad,2012,54000,Diesel,Manual,First,5,9.47,4.25,23.08,1461,63.1,nissan,micra
Hyderabad,2013,54000,Petrol,Manual,Second,5,4.36,2.75,20.92,998,67.1,maruti,alto
Kochi,2018,37430,Petrol,Manual,First,5,10.57,9.9,17.5,1199,88.7,honda,wrv
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,7,24.01,4,12.8,2494,102,toyota,innova
Bangalore,2013,62000,Diesel,Manual,First,5,15.05,7.75,19.01,1461,108.45,renault,duster
Delhi,2012,87615,Petrol,Manual,First,5,21.085,6.75,14.53,1798,138.1,toyota,corolla
Bangalore,2013,72000,Diesel,Automatic,Second,7,18.865,12.5,11.18,2696,184,mahindra,ssangyong
Kolkata,2010,35000,Diesel,Automatic,First,5,67.1,11.5,12.4,2698,179.5,audi,a6
Coimbatore,2014,55431,Petrol,Manual,Second,5,12.33,6.98,16.09,1598,103.5,volkswagen,vento
Jaipur,2009,83816,Petrol,Manual,Second,5,5.51,1.85,14,1061,64,maruti,wagon
Kochi,2018,50075,Diesel,Manual,First,5,11.12,8.63,24.3,1248,88.5,maruti,vitara
Delhi,2017,52000,Petrol,Manual,First,5,7.88,4.85,18.15,1198,82,mahindra,kuv
Pune,2013,85000,Diesel,Automatic,First,5,49.49,28,11.74,2987,254.8,mercedes-benz,m-class
Chennai,2013,62000,Diesel,Manual,First,5,10.15,5,22.07,1199,73.9,volkswagen,polo
Delhi,2008,90000,Petrol,Manual,Second,5,4.36,1.25,19.7,796,46.3,maruti,alto
Kochi,2014,19698,Petrol,Manual,First,4,7.63,1.53,25.4,624,37.5,tata,nano
Coimbatore,2017,22033,Diesel,Manual,First,6,7.88,5.58,25.32,1198,77,mahindra,kuv
Kochi,2014,35487,Petrol,Manual,First,5,10.25,4.74,18.5,1197,82.9,hyundai,i20
Bangalore,2014,46374,Petrol,Automatic,First,5,23.64,8.85,14.62,1999,149.92,hyundai,elantra
