Income,Age,Recency,Amount_Wines,Amount_Fruits,Amount_SweetProducts,Amount_Meat_Fish,Web_Purchases,Store_Purchases
58138.0,53,58,635,88,88,718,8,4
46344.0,56,38,11,1,1,8,1,2
71613.0,45,26,426,49,21,238,8,10
26646.0,26,26,11,4,3,30,2,4
58293.0,29,94,173,43,27,164,5,6
62513.0,43,16,520,42,42,98,6,10
55635.0,39,34,235,65,49,214,7,7
33454.0,25,32,76,10,1,59,4,4
30351.0,36,19,14,0,3,27,3,2
5648.0,60,68,28,0,1,7,1,0
52028.5,27,11,5,5,2,6,1,2
7500.0,34,59,6,16,1,22,2,3
63033.0,51,82,194,61,112,705,3,8
59354.0,58,53,233,2,5,56,6,5
17323.0,23,38,3,14,1,23,1,3
41850.0,30,51,53,5,13,21,3,3
37760.0,64,20,84,5,12,188,4,6
76995.0,61,91,1012,80,16,498,11,9
33812.0,25,86,4,17,24,49,2,3
37040.0,28,41,86,2,38,142,4,5
2447.0,31,42,1,1,1,1726,0,0
58607.0,61,63,867,0,0,86,2,9
40689.0,59,69,270,3,6,66,7,5
18589.0,41,89,6,4,12,40,2,3
52028.5,24,19,5,1,263,6,27,0
38360.0,21,26,36,2,21,62,2,4
10979.0,21,34,8,4,2,12,3,3
38620.0,47,56,112,17,22,78,2,3
40548.0,40,31,110,0,0,7,2,4
46610.0,58,8,96,12,22,129,4,6
49389.0,59,55,40,0,1,21,2,3
67353.0,40,37,702,17,8,151,5,12
23718.0,34,76,6,3,7,29,3,2
42429.0,37,99,55,0,0,8,1,3
48948.0,67,53,437,8,49,366,7,5
20559.0,25,88,13,1,0,32,2,3
55212.0,51,80,81,11,2,53,1,4
7500.0,35,19,3,1,2,13,2,3
79941.0,34,72,123,164,30,493,2,9
41728.0,42,92,13,6,5,18,2,2
52028.5,59,96,48,5,10,54,2,4
72550.0,56,39,826,50,38,367,5,12
65486.0,53,29,245,19,67,162,4,10
35790.0,33,54,12,6,1,50,2,3
66373.0,32,57,328,9,24,136,4,10
70287.0,44,30,295,35,120,603,5,10
27938.0,22,31,13,0,1,10,1,4
52028.5,28,57,11,3,2,24,2,3
55954.0,42,63,447,0,0,28,8,6
75777.0,28,12,712,26,13,607,3,11
66653.0,35,18,452,18,18,118,4,12
61823.0,58,26,523,7,14,171,8,10
67680.0,59,8,546,0,6,48,7,8
70666.0,62,29,398,40,122,486,7,4
25721.0,39,75,1,3,6,9,1,2
74854.0,40,90,856,59,29,545,2,5
46805.0,37,25,25,3,4,60,3,3
65031.0,51,29,258,107,37,375,10,13
60631.0,35,88,565,6,6,65,9,8
28332.0,58,58,14,10,15,17,2,4
40246.0,33,68,2,1,1,8,1,2
75251.0,38,34,721,111,18,1022,7,5
75825.0,34,40,1032,105,105,916,5,9
56046.0,45,9,577,0,0,64,10,8
29760.0,25,87,64,4,5,75,3,4
23559.0,37,87,25,5,0,26,3,3
29440.0,50,95,17,8,4,24,1,4
36138.0,40,48,130,0,0,16,3,4
79593.0,37,70,350,60,133,678,5,7
54178.0,43,79,135,9,0,43,2,5
52028.5,53,45,7,0,0,10,1,2
50943.0,37,87,445,37,28,457,2,8
42394.0,38,69,15,2,1,10,1,3
23626.0,40,84,27,2,0,14,3,3
30096.0,27,30,5,3,5,23,2,3
47916.0,50,72,505,0,0,26,7,6
51813.0,38,37,51,2,1,7,2,3
78497.0,59,44,207,26,0,522,5,12
50150.0,27,32,135,46,61,157,5,7
34554.0,51,43,41,1,0,8,2,3
65846.0,65,68,562,81,40,356,6,6
24594.0,31,94,1,3,0,16,1,3
49096.0,46,15,144,1,1,34,4,4
52413.0,41,56,295,106,98,346,6,12
38557.0,32,17,76,3,4,35,3,3
77298.0,31,46,425,115,35,315,6,11
57288.0,47,27,527,0,0,21,8,8
43974.0,30,19,378,0,0,101,6,6
50785.0,48,27,64,1,1,21,2,3
36550.0,32,74,47,90,103,217,9,5
30753.0,43,85,12,5,9,25,1,3
21918.0,41,37,1,6,5,18,2,3
56129.0,57,65,320,48,72,172,6,10
32557.0,43,13,34,3,4,29,2,3
19510.0,25,63,9,0,4,10,1,3
30992.0,34,83,17,0,3,21,1,3
71488.0,45,87,162,33,28,164,3,7
79607.0,26,37,450,133,0,1124,3,6
54348.0,57,51,70,0,0,16,2,4
55212.0,49,23,352,0,0,37,6,7
77376.0,54,72,492,19,12,126,6,10
62998.0,58,10,120,58,89,138,5,5
61331.0,52,42,534,5,5,47,11,6
73448.0,41,10,236,106,41,212,7,9
52028.5,47,96,231,65,71,234,6,7
41551.0,46,51,220,0,0,36,5,5
62981.0,43,21,796,14,44,628,4,13
9548.0,34,31,0,1,6,13,1,3
33762.0,51,61,53,1,0,36,2,2
35860.0,37,37,15,0,2,12,1,2
36921.0,45,74,17,1,1,15,2,3
68352.0,36,47,614,16,33,175,8,9
41883.0,22,13,32,34,16,114,4,3
59809.0,34,36,598,16,41,173,3,6
23957.0,35,47,2,1,11,38,2,3
38547.0,29,49,6,1,1,10,1,2
35688.0,37,94,73,3,1,102,4,4
49605.0,44,65,42,16,20,41,2,4
59354.0,57,59,295,21,13,117,4,7
65747.0,41,96,346,17,13,71,8,6
46344.0,38,28,233,20,20,65,7,5
34176.0,22,12,5,7,14,43,3,4
61010.0,58,57,888,0,0,57,8,11
69372.0,61,10,997,26,13,303,10,6
60199.0,32,49,8,1,0,9,0,3
70356.0,65,20,1349,16,16,292,10,9
23228.0,26,91,53,3,4,56,3,4
74165.0,35,9,1001,12,12,256,5,10
43482.0,44,83,18,1,3,38,2,4
62551.0,57,27,125,16,21,232,6,4
52332.0,51,63,212,5,0,40,3,6
66951.0,22,46,277,162,76,478,3,7
26091.0,53,84,15,10,17,27,2,3
33456.0,45,58,7,3,1,18,1,3
28718.0,28,78,12,4,8,17,2,3
53537.0,51,17,81,0,0,6,2,3
52074.0,43,77,59,0,0,12,2,2
38853.0,40,90,29,0,0,14,2,3
38285.0,51,96,2,0,0,7,0,3
51650.0,34,81,152,3,5,24,4,4
16248.0,22,77,12,11,12,13,2,3
66835.0,64,21,620,26,17,229,6,13
30477.0,26,16,47,1,0,6,1,3
28249.0,49,80,1,9,14,9,2,3
25271.0,27,45,10,1,4,28,1,2
61286.0,44,34,356,0,9,126,7,8
74068.0,34,14,783,30,76,677,4,9
45759.0,46,13,42,1,0,21,2,3
24882.0,32,52,1,4,0,39,1,2
66973.0,21,98,466,22,113,579,8,12
38872.0,22,93,23,3,19,24,3,3
51148.0,37,38,235,6,9,53,5,6
31353.0,33,24,10,0,1,13,1,2
69661.0,30,80,656,16,16,138,7,12
46854.0,37,81,96,1,1,86,5,3
69142.0,58,50,448,4,4,40,8,7
75922.0,42,60,265,138,23,777,4,9
63693.0,32,63,587,43,87,379,11,9
40637.0,45,72,22,0,0,13,1,3
29604.0,22,88,7,6,6,20,1,3
48721.0,47,50,81,18,13,160,4,5
44794.0,44,99,54,0,0,7,2,3
64497.0,56,17,1170,48,32,362,11,9
46097.0,54,11,72,24,4,133,3,6
77972.0,56,18,613,22,102,352,4,9
44377.0,42,70,224,0,0,30,5,5
46014.0,36,21,410,0,9,78,7,8
70951.0,25,66,239,10,87,808,3,9
41443.0,33,79,171,7,19,196,8,5
44551.0,56,24,182,4,0,33,4,5
69508.0,30,48,824,32,32,204,11,11
45204.0,22,93,30,11,1,54,1,4
72460.0,41,56,377,10,30,620,3,7
30732.0,30,44,155,1,1,25,4,4
63887.0,48,38,897,23,11,222,9,12
42011.0,32,46,131,0,1,18,3,4
51369.0,34,84,297,7,11,79,8,4
51537.0,58,27,787,20,0,204,2,11
79930.0,38,72,792,86,51,807,3,8
34320.0,24,66,4,1,0,12,1,2
37070.0,44,30,231,7,15,141,5,8
38590.0,39,65,3,1,3,12,1,2
15033.0,59,37,0,4,0,11,1,3
62745.0,45,89,562,21,10,492,7,11
22212.0,35,49,5,9,8,26,2,4
79761.0,52,32,415,5,35,139,5,11
7500.0,37,54,5,3,7,22,3,3
73455.0,42,98,901,61,163,943,6,10
64961.0,52,97,382,114,124,351,6,4
22804.0,39,75,14,1,1,9,2,2
61074.0,52,37,789,0,28,133,11,8
75027.0,57,74,925,64,12,312,9,6
67546.0,22,90,864,134,38,918,4,5
65176.0,41,57,960,28,70,403,9,6
31160.0,35,59,16,3,1,31,2,3
29938.0,25,52,3,3,2,7,1,3
26490.0,52,92,45,47,20,73,3,5
75702.0,43,77,650,28,42,398,4,11
30899.0,36,35,24,0,0,8,1,3
63342.0,49,48,918,21,10,131,8,5
45989.0,46,97,138,33,24,115,3,7
18701.0,46,95,12,4,6,12,2,4
15287.0,31,60,1,2,3,12,1,2
69674.0,42,46,554,41,0,226,10,10
44159.0,40,85,167,2,13,86,4,6
37717.0,32,31,9,0,1,10,1,2
43776.0,58,9,177,2,2,74,5,4
38179.0,44,30,38,4,2,26,3,3
38097.0,40,70,77,2,1,35,3,2
72940.0,40,13,182,74,149,460,3,6
22070.0,40,11,10,7,2,27,2,2
69267.0,57,31,778,44,73,594,3,5
31788.0,27,15,16,7,8,23,3,4
29315.0,50,55,13,2,7,22,2,4
33378.0,47,38,33,6,7,43,2,4
66313.0,47,86,625,7,22,109,6,12
60714.0,54,56,216,162,92,325,7,10
77882.0,29,29,68,129,22,584,3,5
69867.0,24,30,196,0,130,545,3,8
63841.0,42,64,635,15,7,120,9,9
24480.0,29,46,4,19,25,37,3,4
65640.0,36,74,204,7,15,169,5,8
44319.0,35,18,26,0,0,8,2,3
30631.0,36,75,15,6,5,24,3,2
75278.0,58,17,304,98,74,380,6,13
50898.0,54,88,285,28,114,297,6,12
79946.0,44,19,395,183,141,731,5,5
35416.0,61,62,248,3,3,85,7,5
38361.0,41,74,39,0,8,76,3,3
16626.0,39,76,8,3,1,43,3,3
55951.0,58,62,1241,0,13,80,3,11
35388.0,22,20,6,4,3,11,1,3
42386.0,24,43,65,4,4,16,3,3
68627.0,28,45,395,15,54,323,2,6
57912.0,45,34,801,0,0,80,8,12
35246.0,52,53,36,0,2,14,3,3
58821.0,54,44,513,14,0,173,9,9
46377.0,32,89,37,0,3,50,2,3
39747.0,22,43,80,15,13,113,5,4
23976.0,26,68,14,1,3,23,3,3
27038.0,44,64,1,26,23,42,3,3
77457.0,63,85,675,11,45,415,2,10
64100.0,46,93,509,0,0,27,8,6
12571.0,34,86,3,5,12,16,3,3
22574.0,43,28,25,0,0,10,2,3
52028.5,21,69,861,138,30,521,6,12
70893.0,34,42,768,44,44,638,6,10
54198.0,44,13,185,0,2,31,3,6
28839.0,54,86,24,0,0,7,2,3
40321.0,38,59,44,4,0,27,3,3
66503.0,25,30,91,64,3,193,4,6
30833.0,59,33,11,0,1,10,1,3
52028.5,40,67,738,20,50,224,2,10
64795.0,39,23,412,5,29,157,3,12
34421.0,36,81,3,3,2,13,1,2
64325.0,49,41,731,60,12,431,10,5
40464.0,57,78,424,17,23,125,8,8
62187.0,53,49,792,0,45,320,4,5
14849.0,34,39,21,2,2,31,2,4
29999.0,24,22,68,7,5,69,3,4
24072.0,27,79,9,1,0,9,1,2
33996.0,21,46,40,2,0,23,1,3
66334.0,54,82,909,11,0,218,9,5
35178.0,39,10,23,1,2,15,1,2
22010.0,27,51,11,2,0,12,2,3
62204.0,50,38,317,46,46,398,4,12
75693.0,42,10,797,153,97,365,11,6
30675.0,38,14,10,2,2,27,1,3
68655.0,22,95,456,19,118,907,4,11
41411.0,24,11,37,32,3,49,2,4
55212.0,41,65,1103,0,0,45,4,11
59292.0,60,71,378,14,14,87,3,8
27190.0,37,13,1,6,1,7,1,2
44300.0,45,65,30,0,0,9,1,3
30372.0,39,33,15,0,3,19,2,3
71113.0,53,95,495,33,33,266,6,9
71952.0,24,93,656,80,107,507,8,8
69759.0,44,38,452,20,30,527,4,5
72099.0,36,18,546,91,0,529,3,10
60000.0,34,57,1048,0,0,217,11,5
38643.0,32,45,22,2,1,14,2,3
50737.0,55,61,78,0,0,11,2,4
68462.0,41,6,561,64,128,869,3,8
65073.0,67,65,629,17,0,246,5,5
46681.0,62,52,269,15,19,84,4,4
78618.0,53,87,736,163,163,1030,4,10
62187.0,41,38,512,0,0,83,6,10
28442.0,32,53,19,3,8,21,2,4
51479.0,43,67,247,8,8,166,6,6
54803.0,41,65,404,0,27,120,6,9
79530.0,50,64,333,0,42,944,4,11
31615.0,34,82,2,3,11,26,2,3
72025.0,48,27,833,33,133,700,4,8
52614.0,35,63,789,0,9,154,2,8
35684.0,26,66,10,4,6,7,1,3
48178.0,35,69,159,4,2,51,5,4
29548.0,40,52,7,1,1,9,1,2
63810.0,44,45,977,12,12,269,4,12
46098.0,35,86,57,0,0,27,3,2
22585.0,40,23,3,9,2,28,1,2
30279.0,21,13,10,4,4,18,1,3
66426.0,49,14,1043,24,24,129,3,10
30822.0,41,92,3,9,12,15,1,3
27421.0,56,14,43,12,40,174,4,6
10245.0,39,32,4,7,4,13,1,2
43795.0,42,11,314,11,3,57,7,4
63381.0,50,78,571,50,50,175,4,13
38823.0,61,56,70,0,8,13,2,3
51012.0,64,86,102,9,9,65,4,4
70777.0,42,80,554,35,7,113,5,12
43824.0,39,18,96,1,3,54,3,4
15345.0,26,51,5,2,2,19,1,2
23442.0,23,71,2,0,6,14,1,3
14515.0,30,71,6,4,36,15,2,3
31395.0,54,80,23,1,8,25,2,3
42373.0,36,83,67,5,8,64,2,5
30507.0,50,29,65,36,20,112,5,4
55521.0,55,11,416,0,0,26,6,6
48006.0,45,55,23,0,2,14,1,3
27213.0,38,19,19,3,9,36,2,4
50437.0,47,28,370,9,9,98,7,8
23616.0,28,76,4,22,7,14,3,3
53858.0,34,50,407,53,150,279,4,6
46923.0,23,90,85,44,78,156,5,7
75072.0,48,83,583,34,22,309,5,8
75865.0,67,73,483,0,0,747,3,10
19789.0,35,24,2,5,6,37,2,3
37401.0,37,14,19,3,1,22,2,3
48686.0,57,8,10,0,0,9,1,2
75433.0,21,28,800,0,34,297,2,10
10404.0,21,52,2,2,6,21,1,4
42387.0,21,42,235,0,4,254,8,7
67309.0,43,76,515,47,95,330,9,9
75236.0,46,27,438,66,38,412,8,13
30015.0,40,28,25,0,3,24,1,4
50943.0,54,49,31,0,0,9,1,3
67272.0,44,12,357,35,28,299,6,12
51529.0,61,14,400,4,0,41,9,5
32011.0,39,89,99,0,1,17,2,4
7500.0,24,96,1,11,6,9,2,3
28691.0,21,56,5,4,0,21,1,3
56223.0,62,72,77,28,0,47,2,5
18100.0,64,14,3,1,3,6,0,3
20130.0,36,99,0,6,6,10,1,3
42618.0,38,92,76,14,5,87,5,4
24027.0,34,7,14,7,0,22,2,3
